track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
6Hb2DV9hl1ENg6t0zqd8yQ,0.479,0.637,0.0299,0.0706,7.48e-05,0.358,0.473
39feEmxlnMCD6Su1TzeEGg,0.533,0.969,0.0585,0.00183,0.00191,0.414,0.515
7nDIflSHQXzaa8zupxwv3U,0.653,0.827,0.042,0.649,0.0,0.18,0.733
2qgtuOc1eoOnzitqzsYy9v,0.584,0.272,0.032,0.938,0.0851,0.0977,0.161
5mblm2qeUbMbsDNsIE5OQi,0.32,0.878,0.0909,0.538,0.0,0.665,0.509
6lbu0pkP2pG8pzaY22Qdxw,0.887,0.863,0.0697,0.0176,0.0594,0.288,0.517
4FWKK5zR3X0tw4Odx7gZs0,0.478,0.201,0.0332,0.919,0.0,0.0854,0.857
65FyljpHxd1m1OeIBiUhDL,0.309,0.937,0.0742,6.55e-06,0.914,0.464,0.0387
0hI1a7BgvSGVoQkBcPbUjv,0.553,0.746,0.0369,0.0458,0.00162,0.128,0.0731
002uYDBLOvJz21C4FuArDS,0.415,0.888,0.0685,0.0051,0.002,0.186,0.146
5qF9BtM2Vg6L39Ro2UR8OW,0.527,0.879,0.244,0.0111,0.00082,0.238,0.573
01AKiTk6iF60Kpvitd1Ih1,0.653,0.725,0.0912,0.091,0.000426,0.251,0.349
0cIBOfHKEvwyiAcwlRmylP,0.304,0.766,0.0369,7.68e-05,0.449,0.229,0.0978
7vP1ftuN13Tq2j9gVlEm1l,0.704,0.739,0.0588,0.25,0.0,0.0144,0.809
3idwcdfG4zo2snHt24OJ0Y,0.667,0.464,0.0307,0.00996,0.17,0.0894,0.263
4wpGWRJNCrNeoDrPJo9VYb,0.941,0.406,0.0827,0.436,3.67e-06,0.085,0.964
75Bk2jHaVd5kR5KDDRsnT8,0.893,0.596,0.216,0.0293,0.207,0.0997,0.5
5t9WS1mp1WGOqz6lJut8za,0.444,0.121,0.039,0.988,0.924,0.109,0.175
07B2uqy1rZZsGCq3idEKBE,0.529,0.791,0.0629,0.00161,1.68e-06,0.336,0.561
3uAdZpIbMTtVXitHVibLMV,0.549,0.291,0.0388,0.858,0.000846,0.129,0.376
3yolXChZmrQR0T0byHVRvv,0.507,0.971,0.0826,0.00178,0.00174,0.128,0.275
4oGJXrQZrDehnZX6NT5MPn,0.623,0.668,0.0531,0.475,0.0,0.0862,0.823
6WGQR4SuHTBlsEyKNs5SNl,0.669,0.413,0.0953,0.353,0.86,0.11,0.243
1OxaAC72au0z2HORS9yt1m,0.799,0.519,0.0698,0.158,0.00893,0.111,0.121
0dmpwMBncOCLnwrV3TgliU,0.407,0.288,0.046,0.817,5.53e-06,0.0677,0.356
4esQg7skEqenIr8UETuDHf,0.429,0.285,0.0523,0.961,0.00137,0.189,0.369
2btbz8nKuheHXb9x0luUPT,0.527,0.152,0.0946,0.907,8.48e-06,0.354,0.681
7JaemprlK2VmKExVCJso93,0.529,0.953,0.0566,0.0362,0.645,0.401,0.433
5hVKGw1OXBCEZgRWFUilk7,0.375,0.298,0.0395,0.822,0.0,0.137,0.425
5pZVsZ8TOGly1KnYFmZ61B,0.502,0.874,0.0677,0.0933,0.000173,0.0638,0.884
68PVEvj88zRbnsmwnWqReA,0.708,0.688,0.0349,0.0108,0.00358,0.0542,0.564
2Ozc0me9PV5vlt8cokwdvI,0.783,0.916,0.415,0.11,0.0,0.0746,0.695
6BuTnrx1AQzAdqBXgXT5QA,0.753,0.89,0.426,0.149,0.0,0.304,0.93
6yop2w0gF1HdGGvgUXgMVg,0.591,0.53,0.0344,0.0349,0.000297,0.543,0.372
5OukrdIKKvAbIBrSurnLuy,0.371,0.582,0.0272,0.0835,0.00547,0.0794,0.488
6j726iGVPshdVnmWOk2bKp,0.498,0.99,0.104,0.000671,0.00136,0.106,0.0977
1xDeDsNoBNyBidVQKPnWXE,0.587,0.732,0.0317,0.055,0.924,0.247,0.747
6aanCQUqDjtuu2nwH1lSId,0.863,0.732,0.21,0.00963,0.0012,0.243,0.672
3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,0.0707,0.304,0.0,0.0926,0.194
2USfvfEEmJwxKzMilhqh5n,0.636,0.44,0.0926,0.416,0.0182,0.199,0.0926
3C9mS6yoyMzLbUV67X2zgj,0.445,0.963,0.0791,7.74e-05,0.011,0.278,0.327
3Ea08ZAiu9QOepEYDIc4cl,0.525,0.774,0.0451,0.121,0.0,0.935,0.721
6EzC80O5pl3vPkh4bST7V5,0.375,0.139,0.0324,0.977,8.61e-06,0.0984,0.0878
0Hxty2K8F2DrrCXQyQVpBo,0.602,0.876,0.0442,0.000122,7.16e-06,0.108,0.713
711PInM2yoC1kdA6UfApt0,0.45,0.572,0.0297,0.62,0.0,0.308,0.273
77G0k1La0c5Dw8bAFANcyp,0.231,0.877,0.0574,0.000653,0.026,0.0694,0.524
0UB9JiWD415ZYGbwpOXDTH,0.3,0.221,0.036,0.749,4.95e-05,0.155,0.417
5LM0WmeZXfhxJOl2RPkEFB,0.483,0.954,0.149,0.104,0.0,0.475,0.309
0YEgVqBmj14YWgv7w32Qm4,0.769,0.885,0.0542,0.00364,0.463,0.0796,0.824
3sOTBAXbpYLKoKuREvjIWp,0.59,0.586,0.958,0.657,0.0,0.876,0.594
0lWqNkcbYNZpik6AjywkNm,0.336,0.697,0.0339,3.07e-05,0.0,0.0598,0.125
4uZpUDK9SwZmPae7SykUdt,0.675,0.853,0.129,0.245,0.0,0.196,0.938
0Q75bkIyDFzLQzI966JE4J,0.293,0.552,0.0385,0.216,0.378,0.101,0.503
6UEkaSqswLYnWRgVQFkHMs,0.676,0.677,0.0256,0.0196,1.57e-06,0.157,0.941
1oUmQdyZJGKi8EZKvNrRZQ,0.796,0.825,0.0378,0.127,0.00191,0.229,0.666
2HCml99aKlW0dcCPZMOKQX,0.774,0.629,0.0368,0.175,0.0618,0.0975,0.152
5CDKYpUBEBuScJricxppcb,0.695,0.881,0.12,0.0441,0.0,0.855,0.51
0bk4vZzYmtZlKOltolZ7Zo,0.615,0.725,0.0605,0.014,0.0,0.0824,0.969
0mOTIdOUMEhiY9OQ6Rz2Wg,0.74,0.722,0.246,0.606,0.0,0.108,0.76
1zcoAyff0T8932q9PgVAyJ,0.747,0.511,0.266,0.139,0.0,0.0849,0.72
1toVnIKmSRdUrvJLpPo55e,0.263,0.97,0.199,1.01e-05,0.564,0.329,0.147
4noXM2J8hOKnJ78J4dSTdj,0.283,0.946,0.0787,0.158,2.93e-05,0.0871,0.279
6ObewuQSNkFe4IjKjb4IPy,0.578,0.311,0.0591,0.881,0.0,0.115,0.658
4rmKHaOjNcqZRb58ng6Htz,0.325,0.536,0.0323,0.614,0.0,0.251,0.218
4LLvxxkWtt818FNO3cbsdo,0.687,0.919,0.0635,0.0939,4.38e-06,0.105,0.877
4YimYaA3z1KrrnbBmvE6Af,0.401,0.546,0.0319,0.395,5.03e-05,0.12,0.15
3zcnbGrdyx3iJe7x5WjWc5,0.55,0.51,0.0332,0.803,0.0,0.0951,0.438
6aPMWbbdhDhiJHlknZb9Yx,0.265,0.58,0.0491,0.491,0.0,0.243,0.345
5g3JMD3nz5UfSu7qHQPBpP,0.708,0.784,0.188,0.306,0.0,0.108,0.639
5YgSOlHwnhGJx6Mxh63ABH,0.522,0.637,0.0354,0.398,2.76e-06,0.0993,0.391
1mGe9zY9P0Kjj9RKp5MsPA,0.369,0.925,0.0436,0.000716,0.000302,0.142,0.119
26gpV6aDhhnTa31Qh23hSq,0.446,0.651,0.312,0.642,0.000421,0.882,0.597
6AAF3JyshxVeZ1I2N3e5cN,0.745,0.942,0.0572,0.00156,0.893,0.106,0.21
37tRXGwViDLyJPl1dY3Za5,0.685,0.508,0.0487,0.524,0.0,0.296,0.863
2LsbizbOeNa4x6qsi2jAMb,0.871,0.481,0.0383,0.52,5.54e-05,0.0809,0.664
4LIJn3SG7mCCNKQc6vyy5S,0.699,0.496,0.0479,0.74,0.000347,0.112,0.75
366OQlMvzMfSsdxiIJqzR4,0.558,0.869,0.0309,0.0651,0.0,0.0731,0.96
0eh54iiUtp2CEbTJieM3Jx,0.547,0.719,0.0712,0.272,0.000655,0.286,0.114
1E7qCptwRPfvZrIDyDDgjh,0.81,0.376,0.0411,0.208,5.52e-05,0.0622,0.635
0KLFLf51RleTfm6caSJYF0,0.337,0.741,0.0555,0.381,0.0,0.774,0.85
4ePKbzLwkIBslceokt2iXZ,0.477,0.859,0.264,0.0932,0.0,0.71,0.504
2X6wJzcIqx9Xl24HKZQFCs,0.127,0.39,0.0304,0.296,1.26e-06,0.119,0.132
1R1vXeXn2ABnDd5SJHOXEF,0.603,0.927,0.0461,0.0743,0.0,0.56,0.755
6WapVQGBAffIfzHzS8i5Gg,0.404,0.491,0.0286,0.513,0.0,0.127,0.399
6DY2S2c3PqkQyfEgUlXoPn,0.0974,0.991,0.26,0.00861,0.911,0.164,0.0294
334NVjwI4vESPdvOmVZzbo,0.458,0.51,0.0409,0.335,0.00425,0.105,0.275
6Ytf8ASfFtVqDBH5S00Rkr,0.59,0.83,0.0462,0.000135,0.127,0.297,0.292
5VCUf3CJuflyaCHf7Fa4mS,0.487,0.939,0.268,0.0261,0.0,0.0699,0.156
1sue5MiV1Uq7KInSM6UGTj,0.314,0.122,0.0289,0.975,0.0065,0.108,0.119
5uucjQhsswzAAn4tJpjujn,0.3,0.189,0.0303,0.935,0.0,0.114,0.264
1suafzwNT5Kv9JHnxiHNz7,0.772,0.585,0.0375,0.241,0.0,0.112,0.5
7cq2nIdClANqlwH4okuYm3,0.665,0.431,0.0306,0.416,0.0,0.174,0.698
2lCsTpkit36cAJ0pSEpzr4,0.802,0.073,0.0778,0.737,0.803,0.0912,0.151
0fxjsll9jmmRgMFbwdp4Xg,0.839,0.233,0.0413,0.745,0.747,0.105,0.777
3FK7Wzox7rB8PBkZjhnXFm,0.435,0.874,0.043,0.00191,0.0147,0.139,0.373
6eF87LNT8JEB1WL7QBSRPN,0.435,0.0533,0.0324,0.96,0.000227,0.121,0.139
3F4NgQVGxdlszT0YCpk1Md,0.25,0.218,0.0475,0.773,0.889,0.1,0.29
4A3arwCYdFLHm60pJdpVJB,0.728,0.993,0.086,0.226,0.917,0.111,0.279
7mF0Ut2Dydj7s0lsNh4ulo,0.436,0.89,0.0764,0.536,1.06e-05,0.555,0.792
7fHvI0zoz7nP0dSoiv7ntt,0.751,0.882,0.0829,0.071,0.000322,0.342,0.526
